No,Income,Debt,Crisp
90,50.59,0.84,0.554384
120,51.55,0.85,0.547434
317,54.75,1.00,0.500000
462,36.35,0.94,0.500000
461,55.88,0.99,0.500000
460,32.55,0.97,0.500000
459,32.55,0.97,0.500000
458,32.55,1.00,0.500000
558,35.35,0.75,0.500000
591,35.85,0.95,0.500000
145,31.20,0.95,0.500000
144,37.67,0.96,0.500000
143,42.36,0.98,0.500000
142,42.36,0.95,0.500000
561,35.35,1.00,0.500000
141,54.62,0.99,0.500000
140,62.20,1.01,0.500000
139,62.20,0.99,0.500000
137,62.20,0.98,0.500000
483,44.19,0.99,0.500000
572,35.35,0.98,0.500000
574,35.35,0.98,0.500000
579,35.35,0.98,0.500000
580,35.35,0.98,0.500000
581,36.96,0.90,0.500000
482,44.19,0.99,0.500000
479,44.19,1.01,0.500000
477,44.19,0.99,0.500000
585,36.96,0.98,0.500000
136,62.20,0.98,0.500000
134,52.58,1.01,0.500000
133,52.58,1.01,0.500000
131,37.61,0.98,0.500000
68,37.30,0.89,0.500000
218,30.77,1.00,0.500000
586,36.96,0.96,0.500000
587,36.96,0.96,0.500000
588,36.96,0.92,0.500000
130,37.61,0.95,0.500000
214,44.08,1.01,0.500000
129,52.58,0.99,0.500000
476,44.19,0.96,0.500000
128,44.69,0.98,0.500000
127,51.55,1.00,0.500000
126,51.55,1.00,0.500000
125,51.55,0.98,0.500000
340,39.23,1.01,0.500000
124,51.55,1.00,0.500000
339,39.23,0.97,0.500000
209,44.08,1.01,0.500000
123,51.55,1.00,0.500000
122,51.55,1.00,0.500000
208,44.08,1.01,0.500000
207,44.08,1.01,0.500000
121,51.55,0.98,0.500000
205,44.08,1.01,0.500000
507,34.30,0.89,0.500000
314,54.75,0.98,0.500000
465,55.88,0.98,0.500000
446,36.18,0.95,0.500000
452,32.55,0.95,0.500000
475,44.19,0.98,0.500000
201,44.08,1.00,0.500000
200,44.08,1.00,0.500000
66,43.60,0.97,0.500000
67,43.42,0.95,0.500000
199,48.09,0.97,0.500000
69,32.50,0.81,0.500000
457,32.55,1.00,0.500000
466,55.88,0.94,0.500000
198,52.06,0.98,0.500000
474,31.79,0.95,0.500000
589,36.96,0.92,0.500000
590,36.96,0.94,0.500000
563,35.35,1.00,0.500000
592,36.96,0.96,0.500000
593,35.85,0.99,0.500000
467,55.88,0.94,0.500000
177,33.52,0.98,0.500000
468,55.88,0.96,0.500000
453,36.18,0.99,0.500000
454,32.55,0.97,0.500000
326,39.23,1.01,0.500000
473,55.88,0.98,0.500000
472,31.79,0.98,0.500000
325,39.23,1.00,0.500000
455,36.18,1.01,0.500000
182,60.19,0.98,0.500000
463,55.88,0.99,0.500000
323,46.73,1.00,0.500000
92,50.59,1.03,0.500000
322,53.76,1.00,0.500000
456,32.55,1.00,0.500000
320,53.76,0.98,0.500000
319,54.75,1.00,0.500000
